station_norm,n_samples,n_surface_types,top_surface,material_mode,reads_median,reads_p90,lat,lon
northwick park,3,3,ticket_hall;ticket_machine,glass,3064543.0,3979554.2,51.57865118,-0.318174443
roding valley,3,3,handrail,metal,3023005.0,3538206.6,51.61717995,0.04385609
leytonstone,3,3,handrail,metal,2919776.0,6409784.8,51.56825428,0.008223901
bethnal green,3,3,escalator_handrail,rubber,2871394.0,3048978.0,51.52726755,-0.055423847
sloane square,3,3,ticket_hall;ticket_machine,metal,2781874.0,3474837.2,51.49236161,-0.156471428
st pauls,3,3,escalator_handrail,rubber,2587477.0,3309582.6,51.51487573,-0.097559304
gants hill,3,3,escalator_handrail,rubber,2465255.0,2885750.2,51.5765571,0.066103646
white city,3,3,bench;platform,metal_wood,2406926.0,2992154.0,51.51204421,-0.224221914
finchley central,3,3,ticket_hall;ticket_machine,glass,2333526.0,4525402.0,51.601,-0.1924
kenton,3,3,ticket_hall;ticket_machine,glass,2297519.0,3783063.8000000003,51.58184637,-0.317125399
wanstead,3,3,escalator_handrail,rubber,2261304.0,2543460.8,51.57558605,0.028739769
south kenton,3,3,ticket_hall;ticket_machine,glass,2169668.0,5591724.0,51.57023141,-0.308554798
marble arch,3,3,handrail,metal,2111465.0,3314960.2,51.51361041,-0.158415035
picadilly circus,3,3,ticket_hall;ticket_machine,metal,1844036.0,4658804.0,51.51010128,-0.133994054
redbridge,3,3,handrail,metal,1718273.0,8082659.4,51.57636834,0.045413423
barbican,3,3,ticket_hall;ticket_machine,glass,1565655.0,2458115.8,51.52021342,-0.097698591
goodge street,3,3,ticket_hall;ticket_machine,glass,1409401.0,1698939.4,51.52049909,-0.134642741
euston square,3,3,ticket_hall;ticket_machine,glass,1393689.0,1840236.2,51.52562663,-0.135824263
brixton,3,3,ticket_hall;ticket_machine,glass,1354476.0,1525420.0,51.46265326,-0.114611795
finsbury park,3,3,ticket_hall;ticket_machine,glass,1327320.0,2077425.6,51.56447095,-0.106495674
aldgate,3,3,ticket_hall;ticket_machine,glass,1273680.0,2033626.4000000001,51.51434282,-0.075600611
green paark,3,3,ticket_hall;ticket_machine,glass,1261009.0,2170985.0,51.50691892,-0.142899998
vauxhall,3,3,ticket_hall;ticket_machine,glass,1241590.0,1312393.2,51.48580284,-0.123728675
north wembley,3,3,ticket_hall;ticket_machine,glass,1152288.0,1922900.0,51.56254897,-0.304116057
great portland street,3,3,ticket_hall;ticket_machine,metal_wood,1090771.0,1432623.8,51.52378935,-0.14393025
tooting broadway,3,3,ticket_hall;ticket_machine,glass,1048801.0,1238698.6,51.42751601,-0.167954323
preston road,3,3,ticket_hall;ticket_machine,glass,871618.0,2439706.0,51.5720977,-0.295226402
edgeware,3,3,ticket_hall;ticket_machine,wood,828772.0,3873568.8000000003,51.61368485,-0.274946709
highbury and islington,3,3,ticket_hall;ticket_machine,glass,812646.0,1606225.2,51.54630074,-0.103948483
seven sisters,3,3,ticket_hall;ticket_machine,glass,757599.0,1791923.8,51.58341409,-0.07247832
pimlico,3,3,ticket_hall;ticket_machine,glass,686988.0,2036923.2000000002,51.48926702,-0.13371586
totteridge and whetstone,3,3,ticket_hall;ticket_machine,glass,600233.0,5496431.4,51.63026513,-0.179247175
archway,3,3,ticket_hall;ticket_machine,glass,567988.0,9405308.8,51.56549578,-0.135099708
south wimbledon,3,3,ticket_hall;ticket_machine,glass,507024.0,2667656.8000000003,51.415307,-0.191915
tooting bec,3,3,ticket_hall;ticket_machine,glass,494073.0,2858262.6,51.43583612,-0.159677894
leicester square,3,3,ticket_hall;ticket_machine,glass,460935.0,5130901.4,51.51129079,-0.12822255
harrow-on-the-hill,3,3,ticket_hall;ticket_machine,glass,435773.0,4996136.2,51.57939273,-0.336973212
woodside park,3,3,ticket_hall;ticket_machine,glass,434483.0,7155562.2,51.61787278,-0.185394277
colliers wood,3,3,ticket_hall;ticket_machine,glass,423911.0,2870219.8000000003,51.41814951,-0.177678808
borough,3,3,ticket_hall;ticket_machine,glass,420011.0,9733769.4,51.5012707,-0.093692651
hampstead,3,3,ticket_hall;ticket_machine,glass,418536.0,684268.0,51.55675484,-0.17820292
chalk farm,3,3,ticket_hall;ticket_machine,glass,399091.0,4480586.2,51.5441519,-0.153701577
clapham north,3,3,ticket_hall;ticket_machine,glass,388917.0,2967719.4000000004,51.46492348,-0.129515616
kennington,3,3,ticket_hall;ticket_machine,glass,376156.0,7271201.600000001,51.48819371,-0.10547519
brent cross,3,3,ticket_hall;ticket_machine,glass,375368.0,8732586.4,51.57686088,-0.213428926
east finchley,3,3,ticket_hall;ticket_machine,glass,344991.0,5419707.0,51.58733501,-0.164725648
oval,3,3,ticket_hall;ticket_machine,glass,332042.0,2547276.4000000004,51.482032,-0.112797
