uuid,city,station_name,latitude,longitude,surface_material,sample_type,num_reads,control_type
haib17CEM5106_HCY5HCCXY_SL271175,london,gants hill,51.5765571,0.066103646,glass,environmental_microbiome,2465255.0,
haib17CEM5106_HCY5HCCXY_SL271176,london,newbury park,51.57563951,0.090329654,glass,environmental_microbiome,3018385.0,
haib17CEM5106_HCY5HCCXY_SL271177,london,barkingside,51.58585544,0.088509189,glass,environmental_microbiome,2937159.0,
haib17CEM5106_HCY5HCCXY_SL271178,london,fairlop,51.59574781,0.090921024,glass,environmental_microbiome,3032618.0,
haib17CEM5106_HCY5HCCXY_SL271179,london,hainault,51.60379254,0.093105998,glass,environmental_microbiome,5952549.0,
haib17CEM5106_HCY5HCCXY_SL271180,london,grange hill,51.61340971,0.092132915,glass,environmental_microbiome,576628.0,
haib17CEM5106_HCY5HCCXY_SL271181,london,chigwell,51.61793168,0.074523461,glass,environmental_microbiome,5968956.0,
haib17CEM5106_HCY5HCCXY_SL271151,london,north acton,51.52343605,-0.25970031,glass,environmental_microbiome,4203724.0,
haib17CEM5106_HCY5HCCXY_SL271182,london,roding valley,51.61717995,0.04385609,glass,environmental_microbiome,3023005.0,
haib17CEM5106_HCY5HCCXY_SL271152,london,east acton,51.51664829,-0.247481639,glass,environmental_microbiome,2913737.0,
haib17CEM5106_HCY5HCCXY_SL271153,london,white city,51.51204421,-0.224221914,glass,environmental_microbiome,3138461.0,
haib17CEM5106_HCY5HCCXY_SL271154,london,shepherd's bush,51.50452058,-0.218739321,glass,environmental_microbiome,3450053.0,
haib17CEM5106_HCY5HCCXY_SL271155,london,holland park,51.50740459,-0.205705089,glass,environmental_microbiome,2771241.0,
haib17CEM5106_HCCGHCCXY_SL270584,london,hammersmith,51.4926397,-0.222367633,glass,environmental_microbiome,1110322.0,
haib17CEM5106_HCCGHCCXY_SL270585,london,goldhawk road,51.50202647,-0.226720989,glass,environmental_microbiome,1747728.0,
haib17CEM5106_HCCGHCCXY_SL270586,london,shepherd's bush market,51.50562676,-0.22628142,glass,environmental_microbiome,2564333.0,
haib17CEM5106_HCCGHCCXY_SL270587,london,wood lane,51.50995828,-0.224245427,glass,environmental_microbiome,541619.0,
haib17CEM5106_HCY5HCCXY_SL270903,london,chiswick park,51.4943711,-0.267715593,glass,environmental_microbiome,3761811.0,
haib17CEM5106_HCY5HCCXY_SL270912,london,south kensington,51.49407225,-0.173903021,glass,environmental_microbiome,2604983.0,
haib17CEM5106_HCY5HCCXY_SL270913,london,sloane square,51.49236161,-0.156471428,glass,environmental_microbiome,2489284.0,
haib17CEM5106_HCY5HCCXY_SL270914,london,st james's park,51.49941708,-0.134167037,glass,environmental_microbiome,4705567.0,
haib17CEM5106_HCY5HCCXY_SL270915,london,westminster,51.50115697,-0.124793827,glass,environmental_microbiome,4028552.0,
haib17CEM5106_HCY5HCCXY_SL270916,london,embankment,51.50731012,-0.122340604,glass,environmental_microbiome,2841246.0,
haib17CEM5106_HCY5HCCXY_SL270917,london,temple,51.51104185,-0.113692896,glass,environmental_microbiome,4899691.0,
haib17CEM5106_HCY5HCCXY_SL270918,london,blackfriars,51.51156251,-0.103596123,glass,environmental_microbiome,4645876.0,
haib17CEM5106_HCY5HCCXY_SL270919,london,mansion house,51.5120941,-0.094171678,glass,environmental_microbiome,3695632.0,
haib17CEM5106_HCY5HCCXY_SL270920,london,cannon street,51.51150584,-0.090681195,glass,environmental_microbiome,3623620.0,
haib17CEM5106_HCY5HCCXY_SL270904,london,turnham green,51.49518509,-0.254500038,glass,environmental_microbiome,3536750.0,
haib17CEM5106_HCY5HCCXY_SL270921,london,monument,51.51063449,-0.08616071,glass,environmental_microbiome,3658775.0,
